num_topics,topic_id,words
35,7,"allah, orang-orang, orang, salat, saksi, kepadamu, engkau, muhammad, sungguh, nabi, kufur, alquran, bersamamu, sihir, niscaya"
35,8,"berfirman, kepadamu, negeri, allah, berdua, gunung, adam, ingatlah, surga, musa, setan, pakaian, indah, anak, engkau"
35,9,"orang-orang, allah, mukmin, golongan, orang, manusia, tuhanmu, kaum, nikmat, jin, hamba, manakah, beriman, sahaya, kafir"
35,10,"orang-orang, allah, dunia, manusia, azab, orang, engkau, kehidupan, jalan, akhirat, zalim, kebenaran, sungguh, kufur, menjadikan"
35,11,"allah, azab, orang-orang, dunia, akhirat, kehidupan, maha, ditimpa, manusia, kepadamu, nabi, pedih, beriman, bumi, niscaya"
35,12,"allah, kepadamu, berbuat, sungguh, orang-orang, kaumku, bumi, orang, engkau, bagimu, tuhanku, musa, nyata, tuhanmu, tuhan"
35,13,"allah, orang-orang, kepadamu, engkau, malaikat, gua, tangan, golongan, bagimu, kanan, seandainya, niscaya, ingatlah, kiri, rezeki"
35,14,"allah, orang-orang, maha, tipu, orang, daya, sungguh, benar-benar, nabi, muhammad, yusuf, menerima, niscaya, penyayang, tobat"
35,15,"orang, anak, harta, perempuan, allah, saudara, laki-laki, ditinggalkan, meninggal, tuanya, maha, wasiat, waris, ahli, kepadamu"
35,16,"orang-orang, allah, petunjuk, orang, kaum, mendustakan, ayat-ayat, engkau, azab, zalim, jalan, bumi, kehendaki, rasul, nabi"
35,17,"engkau, salat, malam, orang-orang, tuhanmu, allah, yusuf, zakat, maha, nabi, ingatlah, melaksanakan, musa, bertasbihlah, matahari"
35,18,"orang-orang, allah, azab, kiamat, kerjakan, neraka, orang, engkau, takut, musa, balasan, kafir, kufur, manusia, zalim"
35,19,"perempuan, laki-laki, allah, orang-orang, sahaya, hamba, anak-anak, orang, anak, maha, beriman, saudara, perempuan-perempuan, harta, miliki"
35,20,"allah, orang-orang, beriman, takut, kaum, hati, rasul, berperang, engkau, kafir, maha, bagimu, orang, setan, niscaya"
35,21,"yusuf, orang, tujuh, engkau, tuhanku, kepadaku, orang-orang, allah, sapi, ekor, membawa, nabi, tangkai, qabil, gandum"
35,22,"allah, orang-orang, beriman, orang, maha, jalan, berbuat, pahala, harta, berperang, kepadamu, kebaikan, rasul-nya, menginfakkan, kerjakan"
35,23,"engkau, nabi, muhammad, allah, orang-orang, kepadamu, orang, seandainya, niscaya, berperang, maha, munafik, sungguh, kaum, perang"
35,24,"pohon, allah, orang-orang, kurma, mengeluarkan, kepadamu, kebun, surga, darinya, menumbuhkan, air, tercurah, buih, mun, alaikum"
35,25,"allah, kepadamu, nabi, engkau, muhammad, orang-orang, petunjuk, mengikuti, beriman, maha, manusia, perbuatan, berbuat, tuhanmu, kehendaki"
35,26,"nabi, muhammad, alquran, orang-orang, kepadamu, engkau, allah, kitab, sungguh, rasul, beriman, peringatan, benar-benar, kebenaran, pemberi"
35,27,"allah, bumi, maha, langit, malam, tanda-tanda, menjadikan, siang, menciptakan, benar-benar, kebesaran, kekuasaan, manusia, orang, memperhatikan"
35,28,"engkau, tuhan, tuhanku, musa, orang-orang, anak, maha, benar-benar, berdoa, alam, semesta, ibrahim, sapi, kaum, patung"
35,29,"engkau, musa, orang, orang-orang, kaum, fir'aun, negeri, benar-benar, ingatlah, israil, bani, sungguh, kaumnya, penduduk, berdua"
35,30,"orang-orang, allah, surga, neraka, dalamnya, beriman, kekal, sungai-sungai, mengalir, bawahnya, azab, tuhan, saleh, balasan, beramal"
35,31,"allah, bagimu, perempuan, istri, orang-orang, rumah, suami, maha, perempuan-perempuan, laki-laki, mahar, nabi, kafir, istri-istrimu, anak-anak"
35,32,"maha, allah, penyayang, bumi, pengampun, bijaksana, perkasa, langit, tuhan, kehendaki, tuhanmu, milik, kepada-nya, allahlah, suci"
35,33,"neraka, api, air, orang-orang, allah, minum, orang, besi, riba, minuman, azab, mendidih, panas, ternak, kufur"
35,34,"allah, orang-orang, kepadamu, nabi, kitab, isa, ibrahim, maryam, agama, taurat, putra, musa, muhammad, petunjuk, benar-benar"
